Date,Open,High,Low,Close,Adj Close,Volume
2016-09-05,31800,32300,31700,32120,1627.109985,8383800
2016-09-06,32140,32900,31940,32860,1664.596313,7660150
2016-09-07,32960,33040,32420,32420,1642.306885,9591850
2016-09-08,32460,32780,32280,32780,1660.543579,12070850
2016-09-09,32220,32360,31280,31500,1595.702271,13258400
2016-09-12,29800,30120,29120,29300,1484.256348,26499350
2016-09-13,30160,30980,29900,30540,1547.071289,24717250
2016-09-19,30760,31380,30720,31160,1578.478882,22408150
2016-09-20,31180,31760,31180,31700,1605.833862,12921150
2016-09-21,31900,32020,31520,31840,1612.925659,10509050
2016-09-22,32000,32820,31980,32360,1639.267456,11429950
2016-09-23,31640,31960,31320,31420,1591.649902,18299650
2016-09-26,31420,31920,31280,31360,1588.610229,14524800
2016-09-27,31000,31500,30660,31380,1589.623413,9834400
2016-09-28,31080,31460,31080,31340,1587.597168,8706400
2016-09-29,31460,32380,31440,32000,1621.031006,11397550
2016-09-30,31800,32300,31700,31960,1619.004761,11762700
2016-10-04,32200,32480,32120,32280,1635.214966,13053100
2016-10-05,32020,32520,31940,32380,1640.28064,12470450
2016-10-06,33920,34000,33340,33820,1713.227173,29558150
2016-10-07,34000,34320,33800,34120,1728.424194,26050550
2016-10-10,33000,33780,32560,33600,1702.082397,25293300
2016-10-11,32000,32500,30900,30900,1565.308105,38427150
2016-10-12,29900,30900,29880,30700,1555.176514,39088550
